Q Q0 dL dH-dL a b dmin dmax-dmin Objective
0.250751 0.413994 0.157037 0.124326 1.71863 1.752 0.245673 0.837006 0.251794
0.809007 0.397041 0.156532 0.67624 1.57777 1.45219 0.474267 0.458053 0.754843
0.376437 0.502474 0.508073 0.709266 1.85534 1.88085 0.186903 0.113909 0.78667
0.956108 0.797015 0.0886824 0.135276 1.17386 0.964232 0.152303 0.904688 0.691172
0.921153 0.295909 0.141808 0.144683 3.31725 3.18048 0.690816 0.534475 0.756999
0.748139 0.811567 0.222534 0.471107 2.0371 1.35916 0.701014 0.497636 0.815699
0.837868 0.279721 0.64552 0.696427 2.01811 3.76807 0.810161 0.258628 0.723968
0.626489 0.430223 0.633448 0.360203 2.97193 1.91567 0.103676 0.744049 0.404261
0.890474 0.873754 0.0553288 0.243488 1.60354 2.32841 0.516423 0.0627712 1.56074
0.590311 0.451 0.154521 0.917885 1.20592 3.14698 0.498663 0.0859069 3.42393
0.869576 0.893334 0.346702 0.577444 2.49835 1.08547 0.874873 0.303862 0.873089
0.425193 0.403973 0.489785 0.503182 1.03989 3.81341 -0.159795 0.576827 0.38995
0.544942 0.47125 0.70635 0.0665482 3.02615 2.90991 0.0270576 0.770408 0.296938
0.678361 0.45155 0.346801 0.974192 2.92053 2.3618 0.705138 0.15323 1.48278
0.258675 0.854899 0.191863 0.863741 1.22254 0.974721 -0.102781 0.919392 0.276527
0.323893 0.693087 0.786238 0.109683 0.857957 2.75864 0.209459 0.962031 0.343583
0.782134 0.623433 0.916564 0.585358 1.94965 1.10706 0.284822 0.62173 0.487553
0.501859 0.92555 -0.187895 0.318119 0.893623 2.19834 0.353687 0.483244 0.753027
0.650406 0.951943 0.00507031 0.241718 3.23505 3.46694 -0.149219 0.501717 0.440197
0.477258 0.232725 0.550031 0.46818 2.59064 3.61789 0.739911 0.653753 0.567656
0.615996 0.892756 -0.159138 0.243573 2.41527 3.13023 0.49957 0.0995949 11.5481
0.208136 0.69256 0.717921 0.223629 2.62776 1.39889 0.324093 0.409273 0.373742
0.695783 0.962041 0.796938 0.750442 3.39334 0.813744 0.257258 0.369541 0.364617
0.716821 0.968908 0.884242 0.358539 0.915936 1.23215 0.771053 0.0335424 0.440874
0.393551 0.729255 0.856391 0.672407 2.6328 3.09613 -0.0851338 0.81698 0.393995
0.224628 0.244974 0.233561 0.415621 2.1568 1.35364 0.695919 0.392648 1.37286
0.857259 0.584463 0.548596 0.0829923 2.93113 1.95022 0.871633 0.398943 0.766893
0.357317 0.845263 0.499754 0.652827 0.953846 0.96559 -0.0188097 0.989214 0.233701
0.678334 0.675325 0.50664 0.0427584 2.4452 1.12105 0.722494 0.473709 0.73279
