Q,Q0,dL,dH-dL,a,b,dmin,dmax-dmin,Objective
0.379271,0.840964,0.73513,0.860136,3.74969,2.33807,0.831971,0.490817,0.350845
0.255032,0.211222,0.249391,0.166629,2.17573,3.44872,0.431013,0.928023,0.346855
0.304043,0.325261,0.843676,0.658012,3.87043,3.5873,-0.172094,0.592055,0.532358
0.241334,0.287346,0.905955,0.277125,2.99717,3.02729,0.00945328,0.594944,0.449817
0.568679,0.485874,0.722875,0.269587,1.03103,3.18186,0.815188,0.462713,0.482083
0.870364,0.648574,0.365885,0.858707,1.12371,2.28537,0.443784,0.676762,0.654173
0.518183,0.449742,-0.0705867,0.981796,2.59269,3.71896,0.482414,0.679494,0.814603
0.745829,0.342158,0.217491,0.942616,1.82381,2.36455,0.116049,0.0724703,0.398846
0.568565,0.655091,0.242339,0.441227,0.988208,3.76796,0.161117,0.0606157,0.367902
0.93814,0.253127,0.748579,0.243253,3.86408,3.29807,0.860501,0.929104,0.700248
0.344993,0.928757,0.0979635,0.245983,3.54862,0.820973,0.507933,0.910516,0.598349
0.754349,0.20819,0.517587,0.184361,0.860747,0.865382,0.36427,0.248383,0.510272
0.408146,0.53992,0.582772,0.249363,0.92536,1.57415,0.473783,0.589352,0.166613
0.982457,0.222699,0.714591,0.709763,1.03944,3.87099,0.739904,0.814465,0.696731
0.323871,0.54961,-0.177513,0.290073,2.99612,1.80564,-0.167279,0.862805,0.295281
0.328922,0.301586,0.533196,0.528175,0.835904,1.0855,0.624107,0.0188357,7.90688
0.861703,0.704352,0.211036,0.149581,2.6447,0.892868,0.242427,0.421984,0.690723
0.477494,0.465247,0.12881,0.723883,2.45731,1.74704,0.618507,0.78184,0.786086
0.318112,0.229065,0.634628,0.549081,2.49501,2.98398,0.965031,0.426635,0.861512
0.425899,0.298197,-0.0488333,0.18755,3.06096,0.989238,0.517373,0.642071,1.24223
0.624134,0.770733,0.222203,0.40079,2.31025,1.56585,0.322327,0.975805,0.55132
0.331761,0.57016,0.813978,0.507275,3.61116,2.16064,-0.083279,0.259845,0.976184
0.96952,0.595164,0.426865,0.0681463,2.50287,3.09572,0.849484,0.272899,0.743923
0.695108,0.947985,0.581812,0.73605,2.85381,1.19045,0.48352,0.274888,0.50389
0.841337,0.600085,0.0130406,0.187092,2.55492,2.73039,0.313697,0.183024,0.879635
0.689325,0.549512,0.766405,0.771024,3.32568,2.47303,0.530947,0.884573,0.537233
0.550798,0.357811,0.256777,0.541446,1.36341,2.22967,0.533429,0.492985,0.66812
0.352655,0.91118,0.587853,0.967076,1.94401,1.38077,0.192805,0.712269,0.228121
0.814512,0.811815,0.205842,0.138689,1.30725,1.36591,0.105337,0.233742,0.558599
0.308386,0.295738,0.238834,0.954999,2.50658,2.78442,-0.0152076,0.910525,0.145814
0.949341,0.234191,0.183409,0.171714,3.96805,1.52965,-0.0153958,0.274036,0.673639
0.722987,0.359312,0.245119,0.330142,2.25091,1.29908,0.194329,0.55124,0.618535
0.432564,0.388931,0.201041,0.151005,1.04301,3.73723,0.584131,0.326915,0.909075
0.850484,0.825743,0.720949,0.878264,3.29353,1.6699,0.711004,0.502248,0.664415
0.6531,0.986554,0.616087,0.636775,3.73403,1.15993,0.345209,0.0122465,1.79623
0.646543,0.885563,0.911906,0.488321,3.01667,3.45775,-0.0313076,0.366055,0.438337
0.65935,0.547212,0.0483009,0.53437,2.97958,3.37121,0.354486,0.586658,0.705419
0.65682,0.626942,0.24155,0.566962,3.81297,3.21755,0.11084,0.0432997,0.460784
0.541918,0.883537,0.0218837,0.35382,3.68289,3.19776,-0.129821,0.308407,0.313816
0.704761,0.808433,-0.0712517,0.105207,2.38902,1.89201,0.043317,0.447135,0.629789
0.286512,0.725017,-0.0504049,0.411745,2.40371,1.76333,-0.0117551,0.513897,0.144923
0.45145,0.430811,0.617768,0.598967,0.824922,1.56697,0.222407,0.184426,0.561288
0.221522,0.975329,0.748388,0.634703,1.87558,2.77091,-0.148897,0.944408,0.624575
0.980797,0.549895,0.336649,0.566981,2.50596,2.65486,0.771077,0.135668,0.774777
0.932882,0.537409,0.613589,0.801949,3.44733,1.1695,0.699213,0.64347,0.70899
0.555423,0.772162,-0.0197587,0.934343,1.07524,1.30998,0.428673,0.842259,0.568499
0.915141,0.845787,-0.016911,0.0916492,3.85029,1.63135,0.869687,0.925882,0.759454
0.61084,0.216015,0.248959,0.738647,2.07222,1.82057,0.279446,0.0532192,0.780878
0.519667,0.376566,0.0855363,0.893076,3.60813,2.64977,0.817732,0.771031,1.02387
0.738637,0.314652,0.253338,0.784099,1.39621,1.34177,-0.0770846,0.859842,0.5384
0.647089,0.679412,-0.0320811,0.300975,2.74633,1.92647,-0.0270742,0.757373,0.558485
0.445533,0.267682,0.570632,0.855973,1.45753,1.04695,0.0667431,0.332755,0.298088
0.699829,0.840606,0.615839,0.664441,3.26325,1.81459,0.125401,0.129839,0.48304
0.441562,0.330403,0.249066,0.215536,1.01846,3.54587,-0.0326257,0.825265,0.230304
0.482855,0.804058,0.492293,0.675795,0.870002,1.93706,0.274188,0.527121,0.239015
0.453774,0.582671,-0.0335024,0.266011,0.87207,1.95923,0.700898,0.63162,0.872155
0.620449,0.333053,-0.126771,0.809471,3.78758,3.70957,0.927401,0.578193,1.3807
0.715563,0.532494,0.56633,0.234288,1.76492,2.44841,0.414405,0.0731203,0.347675
0.409602,0.459261,0.603758,0.294067,2.4121,3.37847,0.450128,0.0930759,0.487635
0.477888,0.330807,0.150184,0.536423,2.94332,2.16486,0.773902,0.0566287,6.13513
0.882227,0.750855,0.568806,0.274812,2.72164,1.68108,0.802988,0.758275,0.702837
